activity_uuid,user_id,external_activity_id,abandoned,historical_completion_rate,historical_abandonment_rate,historical_avg_pause_count,historical_avg_duration,difficulty_level,activity_abandonment_rate,avg_pauses_activity,hour_of_day,day_of_week,days_since_last_activity,avg_days_between_sessions,current_pause_count,cluster_completion_rate,cluster_abandonment_rate,avg_frustration,avg_visual_fatigue,distraction_events_per_hour
act_1001_31,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_35,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,3,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_33,1001,107,1,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_34,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,3,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_32,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,8,3,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_36,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,8,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_61,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,7,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_62,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,7,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_63,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,7,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_64,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,7,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_60,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,7,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_58,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_54,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_55,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_7,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_53,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_52,1001,102,1,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_11,1001,105,1,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_12,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_56,1001,103,1,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_9,1001,101,1,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_57,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_10,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_59,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,8,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_8,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_46,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_47,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,4,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_50,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,4,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_51,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_45,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_49,1001,107,1,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_48,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,8,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_85,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,1,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_84,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,1,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_83,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,1,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_80,1001,108,1,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,1,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_81,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,1,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_82,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,8,1,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_1,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,6,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_4,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,6,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_3,1001,108,1,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,6,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_5,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,6,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_6,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,8,6,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_2,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,8,6,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_23,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,7,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_24,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,7,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_22,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,7,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_25,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,7,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_21,1001,102,1,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,7,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_19,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_14,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
